price,volume,time,buyorsell,marketorlimit,misc,unixtime
34.15000,0.17439000,2014-01-14 10:33:54,s,l,,1389713634.11
34.18000,0.08777062,2014-01-14 10:35:26,b,l,,1389713726.36
34.18000,0.02925687,2014-01-14 10:38:10,b,l,,1389713890.33
34.18000,0.02925687,2014-01-14 10:38:39,b,l,,1389713919.5
34.15000,0.00130541,2014-01-14 10:38:55,s,l,,1389713935.45
34.14000,0.02343292,2014-01-14 10:39:13,b,l,,1389713953.27
34.14000,0.01171646,2014-01-14 10:39:38,b,l,,1389713978.61
34.15000,0.07000000,2014-01-14 10:41:51,s,l,,1389714111.63
34.15000,0.08000000,2014-01-14 10:42:45,s,l,,1389714165.77
34.28000,0.05767000,2014-01-14 10:51:53,b,l,,1389714713.82
34.28000,0.00032992,2014-01-14 10:52:16,s,l,,1389714736.33
34.49999,0.57316000,2014-01-14 11:10:55,b,m,,1389715855.61
34.50000,0.23124000,2014-01-14 11:10:55,b,m,,1389715855.62
34.53560,0.06589000,2014-01-14 11:10:55,b,m,,1389715855.64
34.54000,0.12971000,2014-01-14 11:10:55,b,m,,1389715855.64
34.10100,0.10000000,2014-01-14 11:22:26,s,m,,1389716546.15
34.15250,0.01668000,2014-01-14 12:17:06,s,l,,1389719826.41
34.30000,0.01500000,2014-01-14 13:39:49,s,l,,1389724789.23
34.35000,0.14556040,2014-01-14 13:57:11,s,l,,1389725831.16
34.30000,0.05517960,2014-01-14 13:57:11,s,l,,1389725831.18
34.30000,0.01728396,2014-01-14 14:01:09,s,l,,1389726069.41
34.30000,0.00771604,2014-01-14 14:01:09,s,l,,1389726069.42
34.30000,0.13000000,2014-01-14 14:01:44,s,m,,1389726104.38
34.30000,0.00805655,2014-01-14 14:03:58,s,m,,1389726238.03
34.20250,0.04194344,2014-01-14 14:03:58,s,m,,1389726238.04
34.20250,0.09500000,2014-01-14 14:23:24,s,l,,1389727404.28
34.20250,0.09500000,2014-01-14 14:23:37,s,l,,1389727417.3
34.20250,0.04000000,2014-01-14 14:25:23,s,l,,1389727523.55
34.20250,0.11000000,2014-01-14 14:27:35,s,l,,1389727655.64
34.20250,0.00700000,2014-01-14 14:27:48,s,l,,1389727668.63
34.20000,0.03300000,2014-01-14 14:27:48,s,l,,1389727668.65
34.20000,0.11000000,2014-01-14 14:28:02,s,l,,1389727682.49
34.20250,0.04000000,2014-01-14 14:28:15,s,l,,1389727695.8
34.25250,0.03800000,2014-01-14 14:44:34,s,l,,1389728674.71
34.25000,0.14200000,2014-01-14 14:44:34,s,l,,1389728674.72
34.30000,0.46000000,2014-01-14 15:12:19,s,l,,1389730339.87
34.30000,0.13829737,2014-01-14 15:12:20,s,l,,1389730340.66
34.29900,0.01458000,2014-01-14 15:13:08,b,m,,1389730388.81
34.29900,0.01458000,2014-01-14 15:13:13,b,m,,1389730393.09
34.25000,0.00398540,2014-01-14 15:14:19,s,l,,1389730459.04
34.20000,0.00319883,2014-01-14 15:14:19,s,l,,1389730459.06
34.16250,0.00781577,2014-01-14 15:14:19,s,l,,1389730459.07
34.20000,0.01500000,2014-01-14 15:52:47,s,l,,1389732767.13
34.20000,0.01398742,2014-01-14 15:52:47,s,l,,1389732767.23
34.20250,0.01500000,2014-01-14 15:53:00,s,l,,1389732780.76
34.20000,0.11721140,2014-01-14 15:53:00,s,l,,1389732780.78
34.20000,0.16278860,2014-01-14 15:53:00,s,l,,1389732780.79
34.20000,0.01500000,2014-01-14 15:53:40,s,l,,1389732820.04
34.20000,0.02000000,2014-01-14 15:56:09,s,l,,1389732969.55
34.20000,0.00093479,2014-01-14 15:56:10,s,l,,1389732970.35
34.20000,0.03000000,2014-01-14 16:02:17,s,l,,1389733338.0
34.10500,0.41649552,2014-01-14 17:00:38,s,l,,1389736838.78
34.10500,0.31527000,2014-01-14 17:22:00,b,l,,1389738120.47
34.10100,0.09931702,2014-01-14 17:22:01,s,l,,1389738121.96
34.08040,0.20000000,2014-01-14 17:22:03,s,l,,1389738123.91
34.08040,0.05000000,2014-01-14 17:22:13,s,l,,1389738133.95
34.02800,0.20000000,2014-01-14 17:22:55,b,l,,1389738175.54
34.10500,0.00126491,2014-01-14 17:25:07,b,l,,1389738307.01
34.10500,0.04500000,2014-01-14 17:28:09,s,l,,1389738489.08
34.17300,0.14631000,2014-01-14 17:31:11,b,l,,1389738671.07
34.17300,0.00069000,2014-01-14 17:31:18,s,l,,1389738678.79
34.10500,0.00962718,2014-01-14 17:35:50,s,l,,1389738950.25
33.96412,0.00537282,2014-01-14 17:35:50,s,l,,1389738950.26
34.11800,0.14655000,2014-01-14 17:36:16,b,l,,1389738976.62
34.13600,0.05345000,2014-01-14 17:36:17,s,l,,1389738977.1
33.96412,0.00155000,2014-01-14 17:36:17,s,l,,1389738977.12
34.11800,0.14655000,2014-01-14 17:37:34,b,l,,1389739054.36
34.11800,0.00000029,2014-01-14 17:37:46,s,l,,1389739066.87
34.11800,0.08793012,2014-01-14 17:39:01,b,l,,1389739141.95
34.11800,0.04396506,2014-01-14 17:39:38,b,l,,1389739178.22
34.11600,0.01465587,2014-01-14 17:41:10,b,l,,1389739270.25
34.11600,0.01465587,2014-01-14 17:43:08,b,l,,1389739388.39
34.11600,0.01133000,2014-01-14 17:44:11,b,l,,1389739451.67
34.39100,0.14538687,2014-01-14 17:45:18,b,l,,1389739518.4
34.11600,0.00039482,2014-01-14 17:50:24,s,l,,1389739824.42
34.10000,0.01460517,2014-01-14 17:50:24,s,l,,1389739824.43
34.10000,0.00539483,2014-01-14 18:10:52,s,l,,1389741052.01
33.97119,0.00960517,2014-01-14 18:10:52,s,l,,1389741052.02
34.18100,0.03051000,2014-01-14 18:32:45,b,l,,1389742365.15
33.96558,0.07000000,2014-01-14 18:33:36,s,l,,1389742416.04
34.18100,0.01526000,2014-01-14 18:36:46,b,l,,1389742606.13
34.00000,0.72610000,2014-01-14 18:50:38,b,l,,1389743438.22
34.00000,1.12775786,2014-01-14 18:50:40,b,l,,1389743440.92
34.00000,0.58380000,2014-01-14 18:50:50,b,l,,1389743450.18
34.00000,1.50000000,2014-01-14 18:51:15,b,l,,1389743475.41
34.00000,0.10394778,2014-01-14 18:52:28,b,l,,1389743548.61
34.00000,0.03043858,2014-01-14 18:55:37,b,l,,1389743737.56
34.00000,0.03043858,2014-01-14 18:55:39,b,l,,1389743739.85
33.92250,0.01935853,2014-01-14 19:16:27,s,l,,1389744987.18
33.92250,0.01435000,2014-01-14 19:17:04,s,l,,1389745024.86
34.00000,0.72490000,2014-01-14 19:18:36,b,l,,1389745116.34
34.00000,0.72430000,2014-01-14 19:18:42,b,l,,1389745122.36
33.94983,0.04000000,2014-01-14 19:21:09,s,l,,1389745269.38
34.00000,0.18671720,2014-01-14 19:22:49,b,l,,1389745369.61
34.00000,0.00128280,2014-01-14 19:22:50,s,l,,1389745370.82
33.94983,0.01287723,2014-01-14 19:22:50,s,l,,1389745370.83
33.94983,0.00083997,2014-01-14 19:25:24,b,l,,1389745524.95
34.01300,0.03838914,2014-01-14 19:25:24,b,l,,1389745524.96
34.01500,0.07850000,2014-01-14 19:29:40,b,l,,1389745780.2
34.01500,0.00815802,2014-01-14 19:30:15,b,l,,1389745815.57
34.19200,0.03911000,2014-01-14 19:36:52,b,l,,1389746212.22
34.19200,0.01195000,2014-01-14 19:38:19,b,l,,1389746299.97
